	mean_PythonSR_PythonFilter_ER_OTF_22time	min_PythonSR_PythonFilter_ER_OTF_22time	max_PythonSR_PythonFilter_ER_OTF_22time	firstquartile_PythonSR_PythonFilter_ER_OTF_22time	thirdquartile_PythonSR_PythonFilter_ER_OTF_22time	mean_PythonSR_SejitsFilter_ER_OTF_22time	min_PythonSR_SejitsFilter_ER_OTF_22time	max_PythonSR_SejitsFilter_ER_OTF_22time	firstquartile_PythonSR_SejitsFilter_ER_OTF_22time	thirdquartile_PythonSR_SejitsFilter_ER_OTF_22time	mean_SejitsSR_SejitsFilter_ER_OTF_22time	min_SejitsSR_SejitsFilter_ER_OTF_22time	max_SejitsSR_SejitsFilter_ER_OTF_22time	firstquartile_SejitsSR_SejitsFilter_ER_OTF_22time	thirdquartile_SejitsSR_SejitsFilter_ER_OTF_22time	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
1	-	-	-	-	-	-	-	-	-	-	2.6130606875	2.566649	2.754051	2.57755125	2.59552575	1.60272375	1.56109	1.62801	1.5654175	1.62187	
4	38.91347025	38.634738	40.132206	38.74207	38.927601	2.3303183125	2.153675	2.589243	2.270163	2.41347125	0.6438351875	0.608849	0.681092	0.626377	0.658739	0.5484499375	0.530936	0.552246	0.5481025	0.55029625	
9	17.3173421875	17.256745	17.374505	17.28126275	17.35732875	1.07773975	1.007252	1.199617	1.0708575	1.07781675	0.3431596875	0.330166	0.361758	0.341027	0.34445725	0.22534325	0.223468	0.226555	0.2244105	0.22642225	
16	8.2056275625	8.179874	8.300611	8.1895295	8.208154	0.645005625	0.642007	0.651986	0.643387	0.6465565	0.2583836875	0.255882	0.261527	0.25742725	0.25938225	0.150671125	0.149496	0.151903	0.15013075	0.15116325	
25	6.976624875	6.928893	7.13224	6.9526395	6.97873975	0.4780095	0.453318	0.481803	0.478046	0.48058725	0.2340179375	0.23163	0.237167	0.23261075	0.236003	0.1400709375	0.138482	0.141969	0.13953425	0.14073175	
36	4.6997086875	4.092388	8.198007	4.11222525	5.02805575	0.5228075	0.395775	1.013873	0.39769725	0.6742375	0.2098175625	0.204625	0.213575	0.2079575	0.2118635	0.1301738125	0.127069	0.132086	0.12986125	0.130841	
