	mean_PythonSR_PythonFilter_ER_OTF_22time	min_PythonSR_PythonFilter_ER_OTF_22time	max_PythonSR_PythonFilter_ER_OTF_22time	firstquartile_PythonSR_PythonFilter_ER_OTF_22time	thirdquartile_PythonSR_PythonFilter_ER_OTF_22time	mean_PythonSR_SejitsFilter_ER_OTF_22time	min_PythonSR_SejitsFilter_ER_OTF_22time	max_PythonSR_SejitsFilter_ER_OTF_22time	firstquartile_PythonSR_SejitsFilter_ER_OTF_22time	thirdquartile_PythonSR_SejitsFilter_ER_OTF_22time	mean_SejitsSR_SejitsFilter_ER_OTF_22time	min_SejitsSR_SejitsFilter_ER_OTF_22time	max_SejitsSR_SejitsFilter_ER_OTF_22time	firstquartile_SejitsSR_SejitsFilter_ER_OTF_22time	thirdquartile_SejitsSR_SejitsFilter_ER_OTF_22time	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
1	6.106303	5.021568	9.737981	5.02968825	7.87967075	0.5228075	0.395775	1.013873	0.39769725	0.6742375	0.19769425	0.190834	0.202574	0.19689625	0.19891125	0.1301738125	0.127069	0.132086	0.12986125	0.130841	
10	4.8572201875	4.837306	4.883731	4.8462225	4.8704375	0.731465625	0.714704	0.806867	0.72269075	0.73117875	0.303866625	0.299856	0.313618	0.30123375	0.3053765	0.218082625	0.21696	0.220317	0.2170885	0.219422	
25	7.495755	5.302279	10.601412	5.344931	10.018576	1.272511625	1.20592	1.854254	1.22387375	1.24570975	0.4444815625	0.439486	0.448815	0.44403325	0.44622225	0.3343289375	0.332768	0.335868	0.33316525	0.33532525	
100	9.1915568125	7.985786	15.334921	8.0006555	9.108998	4.465662875	3.619531	6.808427	3.62345075	6.142078	1.094006875	1.012295	1.310447	1.01503875	1.19280425	0.8501013125	0.832954	0.870137	0.8362075	0.867749	
