	mean_PythonSR_PythonFilter_ER_OTF_22time	min_PythonSR_PythonFilter_ER_OTF_22time	max_PythonSR_PythonFilter_ER_OTF_22time	firstquartile_PythonSR_PythonFilter_ER_OTF_22time	thirdquartile_PythonSR_PythonFilter_ER_OTF_22time	mean_PythonSR_SejitsFilter_ER_OTF_22time	min_PythonSR_SejitsFilter_ER_OTF_22time	max_PythonSR_SejitsFilter_ER_OTF_22time	firstquartile_PythonSR_SejitsFilter_ER_OTF_22time	thirdquartile_PythonSR_SejitsFilter_ER_OTF_22time	mean_SejitsSR_SejitsFilter_ER_OTF_22time	min_SejitsSR_SejitsFilter_ER_OTF_22time	max_SejitsSR_SejitsFilter_ER_OTF_22time	firstquartile_SejitsSR_SejitsFilter_ER_OTF_22time	thirdquartile_SejitsSR_SejitsFilter_ER_OTF_22time	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
1	-	-	-	-	-	-	-	-	-	-	6.397283	6.310568	6.83315	6.33102575	6.4300585	4.595580625	4.57219	4.63402	4.5742175	4.6234825	
4	37.689682125	37.454827	39.415403	37.50829375	37.655399	4.8970818125	4.805525	5.481686	4.81089025	4.83512525	1.502029125	1.445087	1.560051	1.47568075	1.536282	1.29051625	1.26881	1.31527	1.2709875	1.3068825	
9	16.95287275	16.86923	17.040995	16.9123235	16.99423	2.287835625	2.259965	2.350357	2.265695	2.318151	0.729303125	0.724036	0.757263	0.725146	0.72837425	0.5149015	0.509849	0.523342	0.51317225	0.51630275	
16	8.29589525	8.102034	8.788656	8.120853	8.520717	1.30477775	1.294519	1.334425	1.29797475	1.30396725	0.6842985625	0.487658	0.822542	0.587914	0.74213875	0.30776025	0.306994	0.308335	0.307427	0.3081325	
25	6.9370936875	6.891568	6.982426	6.92699375	6.9474705	0.95506975	0.946652	0.975734	0.94940375	0.95875575	0.360597375	0.34439	0.570098	0.34540525	0.34709475	0.2508076875	0.24943	0.25372	0.24989275	0.251978	
36	4.1021663125	4.081357	4.121167	4.09761725	4.1078405	0.7311210625	0.726404	0.74993	0.72801225	0.73124825	0.2896551875	0.288002	0.293935	0.28866925	0.29047	0.218082625	0.21696	0.220317	0.2170885	0.219422	
