	mean_PythonSR_PythonFilter_ER_OTF_22time	min_PythonSR_PythonFilter_ER_OTF_22time	max_PythonSR_PythonFilter_ER_OTF_22time	firstquartile_PythonSR_PythonFilter_ER_OTF_22time	thirdquartile_PythonSR_PythonFilter_ER_OTF_22time	mean_PythonSR_SejitsFilter_ER_OTF_22time	min_PythonSR_SejitsFilter_ER_OTF_22time	max_PythonSR_SejitsFilter_ER_OTF_22time	firstquartile_PythonSR_SejitsFilter_ER_OTF_22time	thirdquartile_PythonSR_SejitsFilter_ER_OTF_22time	mean_SejitsSR_SejitsFilter_ER_OTF_22time	min_SejitsSR_SejitsFilter_ER_OTF_22time	max_SejitsSR_SejitsFilter_ER_OTF_22time	firstquartile_SejitsSR_SejitsFilter_ER_OTF_22time	thirdquartile_SejitsSR_SejitsFilter_ER_OTF_22time	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
1	-	-	-	-	-	-	-	-	-	-	11.30335575	11.117992	11.961644	11.15239425	11.3572765	8.62322	8.52782	9.26908	-	-	
4	41.397941375	41.048615	42.974388	41.1714145	41.40540825	9.665690625	8.713624	10.129598	9.23630375	10.052989	2.4350514375	2.368808	2.634609	2.392682	2.4568955	1.91721	1.88885	1.98566	-	-	
9	18.574856875	18.458746	18.673753	18.53149225	18.6502445	4.154173125	4.098169	4.295194	4.1163605	4.1634625	1.2044875	1.191889	1.241658	1.1967785	1.20765725	0.886315	0.878062	0.902152	-	-	
16	10.6841355	10.437902	11.898387	10.465393	10.55461525	2.4429264375	2.36952	2.704083	2.377411	2.426321	0.7226190625	0.713173	0.731301	0.71646325	0.72769375	0.518929	0.513143	0.522333	-	-	
25	7.510008125	7.282803	7.692364	7.31786	7.634009	1.68263775	1.666943	1.694967	1.672186	1.69119175	0.546170625	0.541924	0.551682	0.54325925	0.548981	-	-	-	-	-	
36	7.495755	5.302279	10.601412	5.344931	10.018576	1.272511625	1.20592	1.854254	1.22387375	1.24570975	0.4444815625	0.439486	0.448815	0.44403325	0.44622225	0.307645	0.30613	0.309366	-	-	
