	mean_PythonSR_PythonFilter_ER_OTF_22time	min_PythonSR_PythonFilter_ER_OTF_22time	max_PythonSR_PythonFilter_ER_OTF_22time	mean_PythonSR_SejitsFilter_ER_OTF_22time	min_PythonSR_SejitsFilter_ER_OTF_22time	max_PythonSR_SejitsFilter_ER_OTF_22time	mean_SejitsSR_SejitsFilter_ER_OTF_22time	min_SejitsSR_SejitsFilter_ER_OTF_22time	max_SejitsSR_SejitsFilter_ER_OTF_22time	
1	-	-	-	-	-	-	11.3033557534	11.1179921627	11.9616439342	
4	41.3979413807	41.0486149788	42.9743878841	9.66569061577	8.71362400055	10.1295979023	2.43505141139	2.36880779266	2.63460898399	
9	18.5748569369	18.4587459564	18.6737530231	4.15417315066	4.09816908836	4.29519414902	1.20448748767	1.19188904762	1.24165821075	
16	10.6841354966	10.4379019737	11.8983869553	2.44292643666	2.36952018738	2.70408320427	0.722619056702	0.713172912598	0.73130106926	
25	7.5100081414	7.28280282021	7.69236421585	1.6826377511	1.66694307327	1.69496703148	0.546170577407	0.541923999786	0.551681995392	
36	7.4957550019	5.30227899551	10.6014120579	1.27251163125	1.205919981	1.85425400734	0.444481566548	0.439486026764	0.448814868927	
