	mean_PythonSR_PythonFilter_ER_OTF_22time	min_PythonSR_PythonFilter_ER_OTF_22time	max_PythonSR_PythonFilter_ER_OTF_22time	mean_PythonSR_SejitsFilter_ER_OTF_22time	min_PythonSR_SejitsFilter_ER_OTF_22time	max_PythonSR_SejitsFilter_ER_OTF_22time	mean_SejitsSR_SejitsFilter_ER_OTF_22time	min_SejitsSR_SejitsFilter_ER_OTF_22time	max_SejitsSR_SejitsFilter_ER_OTF_22time	
1	6.10630303621	5.02156805992	9.73798108101	0.522807478905	0.395775079727	1.01387310028	0.197694271803	0.19083404541	0.202574014664	
10	4.85722018778	4.83730602264	4.88373088837	0.731465637684	0.714704036713	0.80686712265	0.303866609931	0.299856185913	0.313617944717	
25	7.4957550019	5.30227899551	10.6014120579	1.27251163125	1.205919981	1.85425400734	0.444481566548	0.439486026764	0.448814868927	
100	9.19155679643	7.98578596115	15.3349208832	4.46566285193	3.61953115463	6.80842685699	1.09400688112	1.01229500771	1.31044721603	
