	mean_PythonSR_PythonFilter_ER_OTF_22time	min_PythonSR_PythonFilter_ER_OTF_22time	max_PythonSR_PythonFilter_ER_OTF_22time	mean_PythonSR_SejitsFilter_ER_OTF_22time	min_PythonSR_SejitsFilter_ER_OTF_22time	max_PythonSR_SejitsFilter_ER_OTF_22time	mean_SejitsSR_SejitsFilter_ER_OTF_22time	min_SejitsSR_SejitsFilter_ER_OTF_22time	max_SejitsSR_SejitsFilter_ER_OTF_22time	
1	-	-	-	-	-	-	27.4037546664	27.1259319782	27.9591891766	
4	60.8853241503	60.2284200191	62.400069952	26.8901199251	26.5079469681	28.2690360546	6.4032292068	6.25239896774	6.88761997223	
9	27.5761435181	27.4722919464	27.652575016	12.5283282548	12.4556648731	12.7027330399	3.2280266732	3.18869590759	3.38365387917	
16	15.6797713041	15.6283302307	15.7352390289	7.32298746705	7.23909306526	7.4997780323	1.82696214318	1.82144594193	1.84264111519	
25	11.4807819873	11.2328579426	12.3165938854	5.89739851654	5.09680008888	9.79425406456	1.45533448458	1.35199189186	1.83942580223	
36	9.19155679643	7.98578596115	15.3349208832	4.46566285193	3.61953115463	6.80842685699	1.09400688112	1.01229500771	1.31044721603	
