	mean_PythonSR_PythonFilter_ER_OTF_22time	min_PythonSR_PythonFilter_ER_OTF_22time	max_PythonSR_PythonFilter_ER_OTF_22time	mean_PythonSR_SejitsFilter_ER_OTF_22time	min_PythonSR_SejitsFilter_ER_OTF_22time	max_PythonSR_SejitsFilter_ER_OTF_22time	mean_SejitsSR_SejitsFilter_ER_OTF_22time	min_SejitsSR_SejitsFilter_ER_OTF_22time	max_SejitsSR_SejitsFilter_ER_OTF_22time	
1	-	-	-	-	-	-	2.61306066811	2.56664896011	2.75405097008	
4	38.9134702682	38.6347379684	40.1322059631	2.33031828701	2.15367507935	2.58924293518	0.643835201859	0.608849048615	0.681092023849	
9	17.3173421919	17.2567451	17.374505043	1.07773979008	1.00725197792	1.19961714745	0.343159675598	0.330166101456	0.361757993698	
16	9.74224415421	9.66775608063	10.2116689682	0.665079921484	0.627289056778	0.669955015182	0.221416443586	0.21893286705	0.22718501091	
25	6.97662490606	6.92889308929	7.13223981857	0.78735524416	0.507503032684	0.895463943481	0.314897194505	0.214112043381	0.734678983688	
36	6.10630303621	5.02156805992	9.73798108101	0.522807478905	0.395775079727	1.01387310028	0.197694271803	0.19083404541	0.202574014664	
