	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
64	49.685213875	49.03245	51.900073	49.126082	50.07198025	5.725385625	5.362417	6.474868	5.374347	6.20183725	4.4603371875	2.634528	12.282586	2.63841525	5.38430525	2.737711875	2.64401	2.81351	2.69064	2.7839675	
121	28.0735485625	27.820174	28.559837	27.94803375	28.123934	5.0088165	4.704693	5.632766	4.77515075	5.2186925	3.8044065	3.424963	4.535505	3.51642575	3.97701375	1.4129975	1.37545	1.46161	1.3870225	1.4352025	
256	12.567141625	12.390372	13.154435	12.452005	12.59716375	1.4952959375	1.405087	2.293806	1.40894025	1.42237725	0.726777375	0.70274	0.91653	0.704123	0.71361675	0.674100625	0.655519	0.693429	0.66456425	0.68319625	
576	5.73837725	5.679326	5.894455	5.70301175	5.75213525	0.6909543125	0.666059	0.779636	0.669465	0.67841675	0.351851125	0.343779	0.436172	0.34448425	0.34850175	0.3275455625	0.322792	0.340496	0.32401375	0.3305955	
1024	3.554075875	3.25229	4.928582	3.2668895	3.60600875	0.57597875	0.398336	1.496254	0.40121725	0.7053475	0.2902963125	0.2197	0.962315	0.223517	0.23631275	0.215556875	0.20822	0.225744	0.211726	0.219238	
