	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
64	39.5718040625	39.364855	40.034023	39.39849125	39.6776805	1.36485375	1.311137	1.534434	1.32500375	1.39343875	1.0759659375	1.053427	1.177538	1.05743025	1.07404	1.038001375	0.992972	1.06982	1.0257225	1.0538125	
121	21.402210875	21.314143	21.523284	21.3465765	21.466234	0.862029625	0.720767	2.247103	0.72265625	0.78503	0.631121	0.581822	0.943669	0.590949	0.6049695	0.6096628125	0.593662	0.650907	0.5993695	0.6154405	
256	10.063227	10.011133	10.137918	10.02204075	10.09295125	0.4583390625	0.411531	0.64477	0.41400925	0.493671	0.3778014375	0.345899	0.67236	0.347434	0.351675	0.3339109375	0.320371	0.378255	0.3249765	0.336686	
576	4.761144125	4.573107	6.586982	4.5946	4.68484425	0.3077885	0.217208	0.747798	0.22056525	0.32234	0.2202859375	0.187052	0.468795	0.18989525	0.1959295	0.1846895	0.176049	0.216188	0.180838	0.18545525	
1024	3.047932625	2.621135	8.360604	2.6464225	2.68363875	0.35046075	0.152101	1.2538	0.15483575	0.4308955	0.2040803125	0.135226	0.672502	0.1366635	0.14451175	0.1318935	0.127076	0.144094	0.129478	0.13462225	
