	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
64	58.4084821875	57.554404	59.428473	58.01586975	58.881573	12.98782375	12.810595	13.325447	12.89301125	13.02419175	14.837471125	5.979715	62.009078	6.21343975	19.263333	5.736151875	5.52342	5.90592	5.599855	5.8361875	
121	32.0272243125	31.668934	34.13956	31.7680955	32.04690225	8.9905354375	8.04508	10.884722	8.30944325	9.565913	5.1241535	4.598232	7.089223	4.67760625	5.34961	2.83584625	2.69236	2.94849	2.7545975	2.9107775	
256	14.3684656875	14.269693	14.524621	14.30422075	14.44602775	3.052611	2.978645	3.3198	2.9947845	3.064077	1.2604890625	1.208663	1.674614	1.21069575	1.23615675	1.255735625	1.20686	1.30746	1.21999	1.2791275	
576	6.6040293125	6.476095	6.857624	6.5554025	6.62486425	1.39881525	1.363426	1.590768	1.36736625	1.40210475	0.5873976875	0.568676	0.656665	0.57293425	0.59035575	0.5619075	0.532268	0.579072	0.549328	0.57361975	
1024	5.413765125	3.686159	17.871576	3.69548475	3.78121225	0.972257875	0.788502	2.839571	0.7918215	0.8006615	0.3869148125	0.336694	0.860403	0.338895	0.340725	0.3405330625	0.325616	0.352568	0.33558375	0.3451285	
