	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
64	97.130491125	95.595871	98.605321	96.70679825	97.83110225	48.672101375	47.756852	49.813763	48.18721	49.20711825	21.2120625625	19.785683	23.286161	20.8639025	21.5749955	20.1969375	18.4536	21.7862	19.1715	21.312575	
121	52.783156625	51.822279	54.551323	52.22676725	53.25971775	27.5302146875	26.83995	29.676429	26.90902275	27.6294615	13.5256893125	12.560321	16.094418	12.61895375	14.90996475	9.69729875	8.72944	10.4479	9.2505275	10.264275	
256	24.582899875	23.249594	29.321519	23.353414	25.26949225	11.1475695625	10.98702	11.475054	11.05112075	11.23638525	4.1918315625	3.966796	4.78442	3.974944	4.2880345	4.076123125	3.65707	4.38549	3.8626525	4.2804025	
576	10.3873985625	10.335147	10.752604	10.33884675	10.38356375	4.891891375	4.800266	5.173397	4.83291275	4.8695845	1.6036129375	1.590487	1.611781	1.5977	1.609941	1.62654125	1.47221	1.75635	1.5292875	1.7203625	
1024	5.918210375	5.825949	6.418934	5.8435115	5.89882275	2.8313159375	2.704268	3.404829	2.7200755	2.76578575	0.8716563125	0.856694	0.894591	0.85854325	0.88992475	0.878539375	0.795753	0.94005	0.823969	0.92247775	
