	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
702.0	4.946822	-	-	-	-	0.819247	-	-	-	-	0.272173	-	-	-	-	0.180193	-	-	-	-	
720.0	4.806411	-	-	-	-	0.414257	-	-	-	-	0.279625	-	-	-	-	0.190363	-	-	-	-	
738.0	5.229766	-	-	-	-	0.34512	-	-	-	-	0.293634	-	-	-	-	0.191179	-	-	-	-	
756.0	4.941305	-	-	-	-	0.509216	-	-	-	-	0.298006	-	-	-	-	0.185818	-	-	-	-	
774.0	4.988685	-	-	-	-	0.498211	-	-	-	-	0.30379	-	-	-	-	0.186592	-	-	-	-	
792.0	5.103648	-	-	-	-	0.460313	-	-	-	-	0.290984	-	-	-	-	0.189845	-	-	-	-	
810.0	4.861754	-	-	-	-	0.414247	-	-	-	-	0.224154	-	-	-	-	0.189249	-	-	-	-	
828.0	4.972839	-	-	-	-	0.383103	-	-	-	-	0.187448	-	-	-	-	0.183804	-	-	-	-	
846.0	4.699688	-	-	-	-	0.219963	-	-	-	-	0.188942	-	-	-	-	0.184325	-	-	-	-	
864.0	4.934919	-	-	-	-	0.382416	-	-	-	-	0.19331	-	-	-	-	0.192019	-	-	-	-	
1023.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
1024	9.38292531669	3.80736899376	15.2349889278	6.79616624117	10.6341278553	1.08690340817	0.157173871994	11.2608730793	0.280132055283	0.48854637146	1.69736337662	0.139358997345	22.1273541451	0.146712005138	0.556831896305	0.1318484375	0.126193	0.142234	0.12819125	0.13392525	
1056.0	4.789759	-	-	-	-	11.260873	-	-	-	-	22.127354	-	-	-	-	0.142234	-	-	-	-	
1088.0	3.807369	-	-	-	-	0.841495	-	-	-	-	0.8089	-	-	-	-	0.12938	-	-	-	-	
1120.0	6.810606	-	-	-	-	0.810919	-	-	-	-	0.592615	-	-	-	-	0.129707	-	-	-	-	
1152.0	15.234989	-	-	-	-	0.393281	-	-	-	-	0.449483	-	-	-	-	0.128531	-	-	-	-	
1184.0	10.446813	-	-	-	-	0.471866	-	-	-	-	0.272076	-	-	-	-	0.128078	-	-	-	-	
1216.0	6.791353	-	-	-	-	0.393109	-	-	-	-	0.418887	-	-	-	-	0.136592	-	-	-	-	
1248.0	13.946172	-	-	-	-	0.483225	-	-	-	-	0.688368	-	-	-	-	0.126735	-	-	-	-	
1280.0	10.341219	-	-	-	-	0.295264	-	-	-	-	0.151723	-	-	-	-	0.133902	-	-	-	-	
1312.0	6.550854	-	-	-	-	0.49032	-	-	-	-	0.148887	-	-	-	-	0.131613	-	-	-	-	
1344.0	7.409794	-	-	-	-	0.275088	-	-	-	-	0.412465	-	-	-	-	0.131065	-	-	-	-	
1376.0	10.309822	-	-	-	-	0.405354	-	-	-	-	0.268403	-	-	-	-	0.127472	-	-	-	-	
1408.0	10.267505	-	-	-	-	0.157978	-	-	-	-	0.14442	-	-	-	-	0.140152	-	-	-	-	
1440.0	10.696566	-	-	-	-	0.337901	-	-	-	-	0.139359	-	-	-	-	0.126193	-	-	-	-	
1472.0	9.971394	-	-	-	-	0.157174	-	-	-	-	0.140673	-	-	-	-	0.131239	-	-	-	-	
1504.0	9.319025	-	-	-	-	0.358021	-	-	-	-	0.145987	-	-	-	-	0.133933	-	-	-	-	
1536.0	13.433565	-	-	-	-	0.258586	-	-	-	-	0.248214	-	-	-	-	0.132749	-	-	-	-	
