	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
1	-	-	-	-	-	-	-	-	-	-	3.2473795625	3.211816	3.290266	3.21846	3.26355825	1.938783125	1.90686	1.97177	1.9207075	1.94725	
4	56.956626	56.299648	58.002579	56.571675	57.21641225	1.209648625	1.193025	1.229216	1.19901975	1.2167865	0.80640875	0.797553	0.816248	0.802839	0.8100745	0.7483873125	0.58285	0.782475	0.74600425	0.76854575	
9	25.917674375	25.759789	26.086738	25.836621	25.9686435	0.6104329375	0.599483	0.616355	0.6081145	0.61332125	0.4177659375	0.405643	0.430769	0.41201525	0.423205	0.3653801875	0.261824	0.62942	0.2743515	0.399468	
16	15.2098216875	14.987733	15.405629	15.16672225	15.2828005	0.388525625	0.378654	0.399505	0.38464875	0.3921275	0.2875360625	0.272295	0.372102	0.27786425	0.287156	0.196584125	0.191542	0.20191	0.194588	0.19830275	
25	10.721330125	10.630673	10.923169	10.66987625	10.742519	0.3740401875	0.285705	0.451546	0.29730625	0.4422075	0.2279290625	0.208494	0.248093	0.21362775	0.2398005	0.1748665	0.168576	0.179969	0.1723875	0.17781125	
36	6.5033373125	6.25437	7.377888	6.29012575	6.629852	0.2637053125	0.257531	0.268693	0.25995	0.26652	0.2188548125	0.212178	0.224968	0.21672525	0.22133575	0.1444553125	0.140239	0.148649	0.142408	0.14666525	
