	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
1	6.50333733857	6.25436997414	7.37788796425	6.29012572765	6.6298519969	0.263705357909	0.257531166077	0.268692970276	0.259949982166	0.266519963741	0.218854799867	0.212177991867	0.224967956543	0.216725230217	0.22133564949	0.1444553125	0.140239	0.148649	0.142408	0.14666525	
10	8.44070506096	8.20306301117	11.0493249893	8.2304059267	8.32365709543	0.964719608426	0.953274011612	0.982063055038	0.956882238388	0.971409022808	0.434267863631	0.425852060318	0.445191860199	0.427654147148	0.440807104111	0.295227375	0.289373	0.300634	0.291862	0.298562	
25	9.67708022892	9.5456700325	9.76434493065	9.62748342752	9.73939365149	2.0895318538	2.04470586777	2.13115286827	2.07664614916	2.10294157267	0.727084100246	0.682492017746	0.760538101196	0.719010412693	0.746622383595	0.54432775	0.508499	0.574827	0.533801	0.55779375	
100	16.340109691	15.8777649403	16.6894938946	16.1263369918	16.5389547348	8.17514033616	7.27492904663	13.0941059589	7.46064794064	8.24789369106	2.03169351816	1.78021883965	2.23781895638	1.87821882963	2.17067706585	1.605785625	1.43365	1.77189	1.47513	1.71634	
