	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
11.8125	60.259651	-	-	-	-	24.392595	-	-	-	-	6.242331	-	-	-	-	6.03231	-	-	-	-	
12.09375	62.020622	-	-	-	-	26.379883	-	-	-	-	7.428744	-	-	-	-	7.22041	-	-	-	-	
12.375	62.127591	-	-	-	-	27.404895	-	-	-	-	7.548692	-	-	-	-	7.25125	-	-	-	-	
12.65625	62.080589	-	-	-	-	26.925384	-	-	-	-	7.477589	-	-	-	-	7.16926	-	-	-	-	
12.9375	61.797032	-	-	-	-	26.849423	-	-	-	-	7.397947	-	-	-	-	7.22353	-	-	-	-	
13.21875	61.740604	-	-	-	-	26.573925	-	-	-	-	7.350888	-	-	-	-	6.96697	-	-	-	-	
13.5	61.438111	-	-	-	-	26.021454	-	-	-	-	7.058188	-	-	-	-	6.60838	-	-	-	-	
15.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
16	35.7399819046	34.7278339863	36.7240819931	35.0231330991	36.4246601462	15.078329578	14.4047558308	15.6126859188	14.6085360646	15.4959591627	3.93738041818	3.51841711998	4.36660504341	3.58737963438	4.25031602383	3.8757175	3.39046	4.99638	3.549555	4.1307575	
16.5	34.966626	-	-	-	-	14.42127	-	-	-	-	3.583646	-	-	-	-	4.00493	-	-	-	-	
17.0	36.144588	-	-	-	-	15.474048	-	-	-	-	4.215896	-	-	-	-	4.99638	-	-	-	-	
17.5	36.446803	-	-	-	-	15.49833	-	-	-	-	4.25161	-	-	-	-	4.2393	-	-	-	-	
18.0	35.692362	-	-	-	-	14.984425	-	-	-	-	3.965848	-	-	-	-	3.69921	-	-	-	-	
18.5	35.558167	-	-	-	-	14.939605	-	-	-	-	3.90044	-	-	-	-	3.6732	-	-	-	-	
19.0	36.287774	-	-	-	-	15.488847	-	-	-	-	4.230658	-	-	-	-	4.11977	-	-	-	-	
19.5	34.727834	-	-	-	-	14.404756	-	-	-	-	3.553838	-	-	-	-	3.40745	-	-	-	-	
20.0	34.919247	-	-	-	-	14.451728	-	-	-	-	3.547467	-	-	-	-	3.39046	-	-	-	-	
20.5	36.710647	-	-	-	-	15.500769	-	-	-	-	4.292312	-	-	-	-	4.06478	-	-	-	-	
21.0	36.637297	-	-	-	-	15.58009	-	-	-	-	4.297835	-	-	-	-	4.0343	-	-	-	-	
21.5	34.812902	-	-	-	-	14.549235	-	-	-	-	3.518417	-	-	-	-	3.42926	-	-	-	-	
22.0	35.255604	-	-	-	-	15.368404	-	-	-	-	3.804298	-	-	-	-	3.57212	-	-	-	-	
22.5	36.358232	-	-	-	-	15.388713	-	-	-	-	4.246434	-	-	-	-	4.13442	-	-	-	-	
23.0	36.724082	-	-	-	-	15.612686	-	-	-	-	4.366605	-	-	-	-	4.14008	-	-	-	-	
