	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
1	6.5033373125	6.25437	7.377888	6.29012575	6.629852	0.2637053125	0.257531	0.268693	0.25995	0.26652	0.2188548125	0.212178	0.224968	0.21672525	0.22133575	0.1444553125	0.140239	0.148649	0.142408	0.14666525	
10	8.4407050625	8.203063	11.049325	8.230406	8.32365725	0.9647195625	0.953274	0.982063	0.95688225	0.971409	0.434267875	0.425852	0.445192	0.42765425	0.440807	0.295227375	0.289373	0.300634	0.291862	0.298562	
25	9.6770801875	9.54567	9.764345	9.62748325	9.7393935	2.089531875	2.044706	2.131153	2.07664625	2.1029415	0.7270840625	0.682492	0.760538	0.71901025	0.7466225	0.54432775	0.508499	0.574827	0.533801	0.55779375	
100	16.3401096875	15.877765	16.689494	16.126337	16.53895475	8.175140375	7.274929	13.094106	7.460648	8.24789375	2.0316935625	1.780219	2.237819	1.87821875	2.170677	1.605785625	1.43365	1.77189	1.47513	1.71634	
