	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_PythonSR_SejitsFilter_OTFtime	min_PythonSR_SejitsFilter_OTFtime	max_PythonSR_SejitsFilter_OTFtime	firstquartile_PythonSR_SejitsFilter_OTFtime	thirdquartile_PythonSR_SejitsFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
1	-	-	-	-	-	-	-	-	-	-	11.4352744375	11.173303	11.744008	11.261624	11.5577895	7.680844375	7.48338	7.90202	7.580905	7.8173325	
4	73.6143205	73.30553	74.106939	73.44902725	73.83608525	6.80406475	6.753277	6.875977	6.7667285	6.8424035	2.615218375	2.5813	2.678051	2.588248	2.62633225	1.984020625	1.77654	2.38806	1.80691	2.1870625	
9	34.2544210625	34.084938	34.708685	34.1348895	34.2572835	3.18697875	3.154436	3.2388	3.17017275	3.202698	1.281543125	1.253591	1.321093	1.25843375	1.3117625	1.08972375	1.04404	1.17112	1.0567825	1.107675	
16	19.671902625	19.568027	19.777481	19.621712	19.719152	1.8785506875	1.850463	1.915999	1.8629295	1.89478175	0.7437498125	0.726421	0.762046	0.7306175	0.75527025	0.5652536875	0.548704	0.584049	0.5541705	0.5738905	
25	13.902184375	13.55986	14.36378	13.6362515	14.0806385	1.304102375	1.285852	1.318459	1.29660825	1.3149135	0.529489375	0.518478	0.539636	0.522435	0.53646525	0.4371768125	0.422304	0.448999	0.4289075	0.447354	
36	8.4407050625	8.203063	11.049325	8.230406	8.32365725	0.9647195625	0.953274	0.982063	0.95688225	0.971409	0.434267875	0.425852	0.445192	0.42765425	0.440807	0.295227375	0.289373	0.300634	0.291862	0.298562	
