	mean_PythonSR_PythonFilter_OTFtime	min_PythonSR_PythonFilter_OTFtime	max_PythonSR_PythonFilter_OTFtime	firstquartile_PythonSR_PythonFilter_OTFtime	thirdquartile_PythonSR_PythonFilter_OTFtime	mean_SejitsSR_SejitsFilter_OTFtime	min_SejitsSR_SejitsFilter_OTFtime	max_SejitsSR_SejitsFilter_OTFtime	firstquartile_SejitsSR_SejitsFilter_OTFtime	thirdquartile_SejitsSR_SejitsFilter_OTFtime	mean_CombBLAS_OTFtime	min_CombBLAS_OTFtime	max_CombBLAS_OTFtime	firstquartile_CombBLAS_OTFtime	thirdquartile_CombBLAS_OTFtime	
0	2.9880448125	2.888752	3.226551	2.902879	3.02884	0.0670319375	0.061978	0.089635	0.06353675	0.0680065	0.05057065	0.046864	0.054172	0.0488247	0.05251605	
1	5.4130710625	0.150627	6.945727	5.540913	5.80949825	0.5214035625	0.164848	1.3045	0.4281845	0.54098625	0.4784020625	0.147849	0.846674	0.36968725	0.587474	
2	5.7701632	0.215362	7.304385	6.923735	7.189009	1.0202814	0.289271	1.36291	0.950544	1.230198	1.090415625	0.316378	1.45753	1.0211925	1.31411	
3	6.63567084615	0.743616	7.638098	6.9725545	7.13484875	1.68578561538	0.740112	4.152376	1.37693175	1.841381	1.57454961538	0.907515	2.1798	1.427215	1.79525	
